cod_localidad,id_provincia,id_departamento,categoria,provincia,departamento,localidad,nombre,direccion,piso,cp,web,latitud,longitud,tipo_latitud_longitud,fuente,sector,pantallas,butacas,tipo_de_gestion,espacio_incaa,año_actualizacion
06595070,06,06595,Salas de cine,Buenos Aires,Olavarría,Olavarría,Flix Olavarria,Rivadavia 4730,,7400,http://olavarria.flixcinema.com.ar/,-36.880816,-60.304409,Precisa,INCAA / SInCA,Cine,2,660,Privada,No,2022
06861010,06,06861,Salas de cine,Buenos Aires,Vicente López,Olivos,Centro Cultural York,Juan Bautista Alberdi 895,,1636,https://www.facebook.com/cineteatroyorkolivos,-34.507715,-58.484962,Precisa,INCAA / SInCA,Cine,1,280,Pública,No,2022
06623100,06,06623,Salas de cine,Buenos Aires,Pergamino,Pergamino,Cinema Pergamino,Av. Mayo y San Nicolas,Piso 1,2700,http://vamosacinema.com/,-33.89284,-60.572327,Precisa,INCAA / SInCA,Cine,2,556,Privada,No,2022
06630020,06,06630,Salas de cine,Buenos Aires,Pila,Pila,"Cine Teatro Municipal Pila ""Padre Adolfo Anastasio""",Calle 6 y Calle 19,,7116,https://www.facebook.com/CineTeatroPila/,-36.000073,-58.145664,Precisa,INCAA / SInCA,Cine,1,178,Pública,No,2022
06638040,06,06638,Salas de cine,Buenos Aires,Pilar,Pilar,Cinepolis Pilar,Panamericana Ac. Norte Km 50,,1629,https://www.villagecines.com/,-34.455906,-58.908329,Precisa,INCAA / SInCA,Cine,9,2675,Privada,No,2022
06638040,06,06638,Salas de cine,Buenos Aires,Pilar,Pilar,Palmas Multiplex,Las Magnolias 754,Piso 1,1629,https://www.multiplex.com.ar/,-34.447067,-58.867098,Precisa,INCAA / SInCA,Cine,9,1407,Privada,No,2022
06644010,06,06644,Salas de cine,Buenos Aires,Pinamar,Pinamar,Atlantica Oasis,Av. Shaw 644,,7167,http://www.cineoasis.com.ar/,-38.722103,-62.261507,Precisa,INCAA / SInCA,Cine,2,744,Privada,No,2022
06182030,06,06182,Salas de cine,Buenos Aires,Coronel de Marina L. Rosales,Punta Alta,Cinema Colon,Rivadavia 459,,8109,http://www.cinemacolon.com.ar,-38.880196,-62.076721,Precisa,INCAA / SInCA,Cine,1,390,Privada,No,2022
06658010,06,06658,Salas de cine,Buenos Aires,Quilmes,Quilmes,Cine Teatro Municipalidad De Quilmes,Mitre 721,,1878,https://www.facebook.com/INCAAQuilmes/,-34.722566,-58.253201,Precisa,INCAA / SInCA,Cine,1,415,Pública,Si,2022
06658010,06,06658,Salas de cine,Buenos Aires,Quilmes,Quilmes,Hoyts General Cinema Quilmes,Av. Calchaqui 3950,,1879,https://www.cinemarkhoyts.com.ar/,-34.759703,-58.278794,Precisa,INCAA / SInCA,Cine,12,2580,Privada,No,2022
06658010,06,06658,Salas de cine,Buenos Aires,Quilmes,Quilmes,Showcase Quilmes,Olavarria 180,,1878,https://www.todoshowcase.com/,-34.725459,-58.255294,Precisa,INCAA / SInCA,Cine,8,1730,Privada,No,2022
06805010,06,06805,Salas de cine,Buenos Aires,Tigre,Rincón de Milberg,Atlas Nordelta,Av. De Los Lagos 7010,,1617,http://www.nordeltacc.com.ar/,-34.39934,-58.653797,Precisa,INCAA / SInCA,Cine,5,969,Privada,No,2022
06686060,06,06686,Salas de cine,Buenos Aires,Rojas,Rojas,Cine Frances,Bartolomé Mitre 328,,2705,https://www.facebook.com/CineFrancesRojas/,-34.198146,-60.732001,Precisa,INCAA / SInCA,Cine,1,230,Privada,No,2022
06721020,06,06721,Salas de cine,Buenos Aires,Salliqueló,Salliqueló,Cine Teatro Soc. Italiana,Pueyrredón 77,,6339,Facebook: Cine Salliqueló - Sociedad Italiana,-36.7509085,-62.9586057,Precisa,INCAA / SInCA,Cine,1,420,Privada,No,2022
06714060,06,06714,Salas de cine,Buenos Aires,Salto,Salto,Cervantes,Alvear 65,,2741,,-34.292986,-60.255264,Precisa,INCAA / SInCA,Cine,1,220,Privada,No,2022
06539010,06,06539,Salas de cine,Buenos Aires,Merlo,San Antonio de Padua,Cinepolis Merlo,Av. Juan Domingo Peron 24056,,1718,https://www.villagecines.com/,-34.66661,-58.702902,Precisa,INCAA / SInCA,Cine,6,1315,Privada,No,2022
06420020,06,06420,Salas de cine,Buenos Aires,La Costa,San Bernardo,Atlantica Arenas,Chiozza 1776,,7111,,-36.699278,-56.677434,Precisa,INCAA / SInCA,Cine,3,1358,Privada,No,2022
06420030,06,06420,Salas de cine,Buenos Aires,La Costa,San Clemente,Gran Tuyu,Av. San Martin 181,,7105,https://www.facebook.com/cine.tuyu/,-36.356863,-56.721892,Precisa,INCAA / SInCA,Cine,1,450,Privada,No,2022
06427010,06,06427,Salas de cine,Buenos Aires,La Matanza,San Justo,Cinemark San Justo,Av. Juan Manuel De Rosas 3990,,1754,https://www.cinemarkhoyts.com.ar,-34.685116,-58.558255,Precisa,INCAA / SInCA,Cine,6,1843,Privada,No,2022
